Entity id	External Provider Id	External Provider Name	Source id	Source Name	External Provider Id	External Pid	Response Status	GeoIP Country	Survey URL	Survey Start	Survey End
1329515117			38	QuickThoughts			Doesn't meet criteria	CHINA	http://confirmit.ssisurveys.com/wix/p65106583.aspx?r=40&s=FYRETUFT&psid=gLa1IjkEFQDDWehjHosEjw**&pid=1329515117	05/28/2016 06:47	05/28/2016 06:48
1329640035			38	QuickThoughts			Doesn't meet criteria	CHINA	http://confirmit.ssisurveys.com/wix/p65106583.aspx?r=50&s=KPKHQSUP&psid=gLa1IjkEFQAF0HEkwx2KGQ**&pid=1329640035	05/29/2016 02:18	05/29/2016 02:19
1329766925			70	API (694_1486) - Live			Doesn't meet criteria	CHINA	http://confirmit.ssisurveys.com/wix/p65106583.aspx?r=63&s=YDRIYRKX&psid=gLa1IjkEFQDokCdgw-iUbw**&pid=1329766925	06/02/2016 00:58	06/02/2016 01:01
1329855740			70	API (694_1486) - Live			Doesn't meet criteria	CHINA	http://confirmit.ssisurveys.com/wix/p65106583.aspx?r=36&s=CGLNMEPH&psid=gLa1IjkEFQAiszDIRfDCrQ**&pid=1329855740	05/28/2016 05:44	05/28/2016 05:46
1330006240			38	QuickThoughts			Started, not completed	CHINA	http://confirmit.ssisurveys.com/wix/p65106583.aspx?r=31&s=MSQFABKN&psid=gLa1IjkEFQCRzwt1m-hAtw**&pid=1330006240	05/28/2016 01:06	05/28/2016 01:06
1330242618			38	QuickThoughts			Doesn't meet criteria		http://confirmit.ssisurveys.com/wix/p65106583.aspx?r=32&s=BMDQCASK&psid=gLa1IjkEFQA2VyM8xSQxOQ**&pid=1330242618	05/28/2016 02:41	05/28/2016 02:42
1330243892			101	API (1156_1340)			Doesn't meet criteria	CHINA	http://confirmit.ssisurveys.com/wix/p65106583.aspx?r=33&s=RGCOKQHU&psid=gLa1IjkEFQBgR78RmizGpw**&pid=1330243892	05/28/2016 02:59	05/28/2016 03:00
1330249842			38	QuickThoughts			Doesn't meet criteria	CHINA	http://confirmit.ssisurveys.com/wix/p65106583.aspx?r=34&s=MKFFFKVV&psid=gLa1IjkEFQAEeh4aa6PKYg**&pid=1330249842	05/28/2016 04:17	05/28/2016 04:17
1330256307			38	QuickThoughts			Started, not completed		http://confirmit.ssisurveys.com/wix/p65106583.aspx?r=37&s=SPCKPSAO&psid=gLa1IjkEFQDeaq71_b005Q**&pid=1330256307	05/28/2016 05:45	05/28/2016 05:45
1330257435			101	API (1156_1340)			Doesn't meet criteria	CHINA	http://confirmit.ssisurveys.com/wix/p65106583.aspx?r=39&s=DHKUXLPK&psid=gLa1IjkEFQCT3FJdG4-ugA**&pid=1330257435	05/28/2016 06:01	05/28/2016 06:02
1330285044			38	QuickThoughts			Started, not completed		http://confirmit.ssisurveys.com/wix/p65106583.aspx?r=45&s=FRHUIEPU&psid=gLa1IjkEFQAwv3_uCaKsgQ**&pid=1330285044	05/28/2016 11:51	05/28/2016 11:51
1330317967			38	QuickThoughts			Started, not completed		http://confirmit.ssisurveys.com/wix/p65106583.aspx?r=46&s=MRMMSVQC&psid=gLa1IjkEFQCRCATzjLbmhg**&pid=1330317967	05/28/2016 19:39	05/28/2016 19:39
1330333724			38	QuickThoughts			Doesn't meet criteria	CHINA	http://confirmit.ssisurveys.com/wix/p65106583.aspx?r=49&s=BRHWFQUV&psid=gLa1IjkEFQBU3tCEzhFpJg**&pid=1330333724	05/28/2016 23:44	05/28/2016 23:45
1330348176			2	OpinionWorld			Doesn't meet criteria	CHINA	http://confirmit.ssisurveys.com/wix/p65106583.aspx?r=51&s=ISPFQLDH&psid=gLa1IjkEFQDtHDnaPVm5rQ**&pid=1330348176	05/29/2016 07:30	05/29/2016 07:31
1330371182			38	QuickThoughts			Completed	CHINA	http://confirmit.ssisurveys.com/wix/p65106583.aspx?r=52&s=BYTAGXFV&psid=gLa1IjkEFQCPwCYSqO_0xA**&pid=1330371182	05/29/2016 09:32	05/29/2016 09:35
1330426277			70	API (694_1486) - Live			Doesn't meet criteria	CHINA	http://confirmit.ssisurveys.com/wix/p65106583.aspx?r=55&s=EFRRIQVY&psid=gLa1IjkEFQCPdXIwrKf9ng**&pid=1330426277	05/29/2016 21:49	05/29/2016 21:50
1330430960			38	QuickThoughts			Doesn't meet criteria	CHINA	http://confirmit.ssisurveys.com/wix/p65106583.aspx?r=56&s=LWXUPGRM&psid=gLa1IjkEFQDlsNu_-j0u_Q**&pid=1330430960	05/29/2016 22:50	05/29/2016 22:51
1330482664			70	API (694_1486) - Live			Doesn't meet criteria	CHINA	http://confirmit.ssisurveys.com/wix/p65106583.aspx?r=57&s=TKHLQEUC&psid=gLa1IjkEFQCqt4eDxgpykw**&pid=1330482664	05/30/2016 09:53	05/30/2016 09:55
1330640521			70	API (694_1486) - Live			Completed	CHINA	http://confirmit.ssisurveys.com/wix/p65106583.aspx?r=58&s=XGPESSJI&psid=gLa1IjkEFQC9MxQ3epEo6w**&pid=1330640521	05/31/2016 11:24	05/31/2016 11:25
1330723619			70	API (694_1486) - Live			Doesn't meet criteria		http://confirmit.ssisurveys.com/wix/p65106583.aspx?r=61&s=OOVYMLGT&psid=gLa1IjkEFQDjLWHobaYIgw**&pid=1330723619	06/01/2016 04:15	06/01/2016 04:16
1330796300			70	API (694_1486) - Live			Doesn't meet criteria	CHINA	http://confirmit.ssisurveys.com/wix/p65106583.aspx?r=62&s=DGMGSTTU&psid=gLa1IjkEFQCaZfsL5ibbNg**&pid=1330796300	06/01/2016 22:37	06/01/2016 22:38
